categories,descriptions,names
['4'],"סיפורם האמיתי של המפיק הנודע מילטון פרוכטמן והבמאי המושמץ לאו הורביץ שנלחמו בחסמים רבים כולל איומים על חייהם כדי לתעד לעולם כולו את המשפט של אחד מגדולי המרצחים של המאה העשרים, אדולף אייכמן. השניים הצליחו להצמיד מיליונים של צופים ביותר מ-30 מדינות למסך והפ ...  המשך ...",אייכמן שואו
"['4', '17']","סרטו החדש של קלינט איסטווד המבוסס על סיפור אמיתי של נחיתת האונס של מטוס הנוסעים על נהר ההדסון בניו יורק מ-2009. טום הנקס מגלם את הקברניט צ'סלי סולי סולנברגר שהציל חיי 155 נוסעים. בעוד שסאלי רשם הישג חסר תקדים של מיומנות התעופה שהוכר על ידי הציבור והמדיה,  ...  המשך ...",סאלי: נס על ההדסון
"['7', '15']","ספין אוף לסרטי ""אקס מן"".  צ'אנינג טייטום מגלם גיבור העל בעל יכולת השליטה באובייקטים שונים",גמביט
"['6', '4', '17']","מלחמת האזרחים בארה""ב. ניוטון נייט, חוואי דרומי הנלחם בחזית, מחליט לערוק מהצבא לאחר הזוועות שחווה. במהלך מסע ההימלטות שלו הוא פוגש חבורת עריקים ומנהיג אותם למרד אלים כנגד העבדות ולמען זכויות השחורים במדינה. במהלך המרד הוא וחבריו מייסדים מדינה עצמאית בדרום  ...  המשך ...",מדינת ג'ונס החופשית
['7'],זכרונותיו של סוכן CIA שנפטר מוטמעים באסיר מסוכן ובלתי צפוי.,קרימינל
"['3', '7']","ספין אוף ל""מלחמת הכוכבים"" שמתרחש קצת לפני אירועי פרק 4. הסרט מספר את סיפורם של חבורת גיבורים לא צפויים המתאחדת כדי לקחת על עצמה את המשימה המסוכנת והכמעט בלתי אפשרית לגנוב את התכניות של כוכב המוות, הנשק הקטלני האולטימטיבי של האימפריה",רוג אחת: סיפור מלחמת הכוכבים
"['3', '15']","ספינת חלל ענקית מסיעה אלפי אנשים השקועים בשינה קפואה. בגלל תקלה, נוסע אחד מתעורר תשעים שנה לפני המועד המתוכנן. הגורל הצפוי לו הוא חיים שלמים בבדידות מוחלטת. כדי להפיג את הבדידות, הוא מחליט להעיר נוסעת אחת נוספת.  כאשר השניים מנסים לגלות את האמת מאחורי התק ...  המשך ...",הנוסעים
"['7', '4']","לי גייטס הוא אישיות טלוויזיה מצליחה שתכניתו הכלכלית הפופולרית ברשת טלוויזיה הפכה אותו לנותן הטיפים הגדול על וול סטריט. אבל לאחר שהוא נותן עצה גרועה לרכישת מניית הייטק שמתרסקת באופן מסתורי, משקיע זועם לוקח את גייטס, הצוות שלו והמפיקה שלו כבני ערובה בשידור  ...  המשך ...",מפלצת הכסף
"['8', '9']","בארוחה רומנטית לאור נרות, במסעדה יוקרתית שעוברת שיפוצים, סקוט מבקש את ידה של אליס. לפני שהיא מצליחה לענות, צונח עליה, מסולם גבוה, אחד המשפצים של המקום. הזוג מגיע לבית החולים כשמסמר נעוץ בראשה של אליס. הבדיקות מראות שאין  ״סיכון חיים״ והמסמר רק עלול לגרום  ...  המשך ...",אהבה בהפרעה
['1'],"חוקרי השדים אד ולוריין וורן מוצאים עצמם באחת החקירות המבעיתות ביותר שלהם. מעט לאחר המקרה האחרון אותו פתרו, השניים מוזמנים  לסייע לאם חד הורית וארבעת ילדיה בביתם רדוף הרוחות בצפון לונדון. בזמן חקירתם הם מגלים כי ישות מסתורית, השתלטה על אחת הבנות ומשתמשת בה ...  המשך ...",לזמן את הרוע 2
['1'],"גרטה האמריקאית מתקבלת לעבודה כאומנת בבית משפחה בריטית באנגליה. היא מגלה שצמד ההורים ""מגדל"" בובה של ילד ומתייחס אליה כאילו הייתה בשר ודם. ההתנהלות המוזרה הזאת מתבררת בהדרגה כמסוכנת ומאיימת בהרבה מהמצופה",הילד
"['7', '4']","מבוסס על הסיפור האמיתי של דליפת הנפט במפרץ מקסיקו, שנחשבת לאסון הסביבתי הגדול ביותר בהיסטוריה. הסרט מגולל את סיפורם של 126 אנשי צוות ששהו על אסדת קידוח הנפט ""Deepwater Horizon"", שביצעה קידוחים במעמקי הים. ב- 20 לאפריל 2010 דליפת הנפט גורמת לפיצוץ קטלני, ל ...  המשך ...",אסון בלב ים
"['3', '7', '4']","מישל מוצאת את עצמה מתעוררת במרתף שהיא לא מכירה. בעל המקום, הווארד  טוען שהוא הציל אותה אחרי שמשך אותה מתוך המכונית שלה שהתהפכה בעקבות התרסקות קשה בכביש המהיר. בהמשך הוא מספר לה שהעולם מחוץ למרתף לא בטוח כבר לבני האדם בעקבות מתקפה כימית מסתורית וכי המשך הא ...  המשך ...",דרך קלוברפילד 10
"['16', '2', '8']","אנימציה של אולפני דיסני. לפני 3000 שנה, המלחים הטובים בעולם יצאו למסע לחצות את האוקיינוס השקט כדי לגלות את האיים הנסתרים שבו. אולם לפתע המסע שלהם נעצר. אלפי שנים לאחר מכן נערה בשם מואנה מפליגה למשימה נועזת כדי להוכיח את עצמה ולהשלים את משימתם של אבות אבות ...  המשך ...",מואנה
"['2', '16']","רימייק לסרט של דיסני מ-1977. במשך השנים מר קארבר שימח את הילדים המקומיים בסיפוריו על דרקון אכזרי השוכן עמוק בתוך היערות של מערב האוקיינוס השקט. לבתו גרייס, העובדת בתור שומרת יערות, הסיפורים האלה הם קצת יותר ממעשיות, עד שהיא פוגשת את פיט, ילד בן 10 מסתורי, ...  המשך ...",חברי הדרקון אליוט
"['4', '13']","1940. הנאצים כבשו את פריס ועומדים לבזוז את המוזיאונים של צרפת. היטלר כבר ניכס לעצמו את רכוש היהודים ולא ברור אם הוא מתכוון לקחת גם את אוצרות מורשת התרבות הצרפתית או לשרוף אותם. מי שחוצץ בין הפיהרר ליצירות המופת הוא ז'אק ז'וז'אר, מנהל המוזיאונים הלאומיים ש ...  המשך ...",פרנקופוניה
"['14', '8', '4']",סיפור אהבה מוזיקלי של פסנתרן ג'ז קשה יום ושחקנית מתחילה בלוס אנג'לס,לה לה לנד
"['15', '4']",מבוסס על סיפור אמיתי. כאשר סופה קשה מכה ב-1952 בחוף המזרחי בניו אינגלנד היא פוגעת בשתי מכליות נפט כשהצוותים לכודים בתוכן. הקצין הבכיר על הסיפון מבין במהרה שעליו לקחת אחריות על הצוות המבוהל ולעודד אותם לעבוד יחד כדי לשמור על הספינה צפה זמן רב ככל האפשר.,שעה של גיבורים (תלת מימד)
"['7', '15', '4']","זוכה גלובוס הזהב 2015 לסרט, במאי ושחקן הטוב ביותר. עמוק בטבע האמריקאי, הצייד יו גלאס נפצע באורח קשה והושאר למות על ידי חבר קבוצתו הבוגדני- ג'ון פיצג'רלד. גלאס חייב לנווט את עצמו בסביבה עוינת ולהילחם בשבטים אינדיאנים במסע הרואי וחסר פשרות לנקמה.",האיש שנולד מחדש (IMAX)
"['2', '11', '15']","הסרט מתרחש בעולם שהשתלט עליו התאגיד הזדוני ""פאנטרטיקה"", בראשו עומד 'לארק' מיליארדר שעשה את הונו מהמצאת צ'יפ המתחבר למוח, המספק את כל צרכיו של המשתמש, משמש לו כחברה, וכמובן אומר לו מה הוא חייב לקנות. בנוסף, כל רעיון שעולה במוחו של המשתמש נשאב באופן מיידי ע ...  המשך ...",גאליס קונקט
"['8', '9', '11']","כשעדי היה בן 5 אבא שלו נהרג בלבנון. רגע לפני שאביו גויס הוא השביע אותו להפסיק להתפרע ולהיות ""ילד טוב ירושלים"". חלפו השנים והוא הופך לאב בעצמו. יום אחד הוא מתבשר שחלה בסרטן סופני. מבולבל בעקבות הבשורה הוא דורס את נטלי, דוג-ווקרית שמטיילת עם הכלבים שלה. הוא ...  המשך ...",ילד טוב ירושלים
"['7', '4']","מירנדה, אחות צעירה בחדר ניתוח, מסיימת משמרת וממהרת לביתה. היא בטוחה שהצעיר שהיא מכניסה לביתה הוא הבליינד דייט שחברתה סידרה לה. במהרה היא תגלה שעשתה טעות. הזר נועל את הדלת, תוקף ואונס אותה. לאחר שנעצר היא מתחילה להתנהג באופן לא צפוי, מבקרת אותו בבית הסוהר  ...  המשך ...",זר דופק בדלת
"['7', '15']","המשך לסרטי ""צופן דה וינצ'י"" ו""מלאכים ושדים"". אחרי שהוא מתעורר בבית חולים בפירנצה ללא זיכרון של מה שקרה לו בימים האחרונים, רוברט לנגדון מוצא את עצמו נמלט על חייו. כאשר לנגדון מתעורר בבית חולים איטלקי ואינו זוכר דבר, הוא חובר לסיינה ברוקס, רופאה אשר לנגדון  ...  המשך ...",התופת
"['15', '4']",מבוסס על סיפור אמיתי. כאשר סופה קשה מכה ב-1952 בחוף המזרחי בניו אינגלנד היא פוגעת בשתי מכליות נפט כשהצוותים לכודים בתוכן. הקצין הבכיר על הסיפון מבין במהרה שעליו לקחת אחריות על הצוות המבוהל ולעודד אותם לעבוד יחד כדי לשמור על הספינה צפה זמן רב ככל האפשר.,שעה של גיבורים (תלת מימד
"['16', '14', '8']","בעולם של חיות אנושיות, באסטר מון, דב קואלה שאפתן, עומד לאבד את התיאטרון שבבעלותו בשל קשיים כלכליים, ומחליט לקיים את תחרות השירה הטובה ביותר שהייתה עד כה בקרב חבריו החיות במטרה להצילו",לשיר
"['2', '15']","הרוח הקטנה גרה בטירה. היא מתעוררת כל לילה בדיוק בשעה אחת אחרי חצות. למרות האזהרות ,הרוח הקטנה רוצה מאוד לראות פעם אחת את העולם באור יום .כאשר יום אחד מגיעים ילדים מהעיירה לטיול בטירה כדי לחקור אותה, הם פוגשים לראשונה את הרוח הקטנה. למחרת הרוח מתעוררת בשעה ...  המשך ...",הרוח הקטנה (מדובב)
"['16', '2', '15']","פופי היא המנהיגה האופטימית של הטרולים ולצדה ההיפך המושלם שלה, בראנצ'. ביחד, צמד הטרולים חייב לצאת להרפתקה שתיקח אותם הרחק מעבר לעולם המוכר להם",טרולים
['7'],"קייסי יעשה הכל כדי שיוכל לשלם עבור טיפול רפואי לחברתו החולה. גנגסטר מעניק לו את ההזדמנות להשיג את הכסף הדרוש ומגייס אותו לשוד סמים מסוכן. כאשר השוד מסתבך מוצא עצמו קייסי במרדף נגד הזמן על הכבישים המהירים של אירופה, כאשר חברתו שבויה בידיו של סוחר סמים אכזר ...  המשך ...",התנגשות
"['7', '3']","בעזרת טכנולוגיה מהפכנית שמשחררת את הזכרונות הגנטיים שלו, קאלם לינץ' חווה את ההרפתקאות של אבי אבותיו, אגילאר, בספרד של המאה ה-15. קאלם מגלה שהוא נצר לחברה סודית ומסתורית, המתנקשים, ושהוא נושא עמו ידע וכישורים אדירים בעזרתם הוא יכול להתמודד עם ארגון הטמפלרי ...  המשך ...",אמונת המתנקש
"['3', '7', '15']","המשך לסרט המצליח של מארוול מ-2014. אחרי ששומרי הגלקסיה חושפים את האמת אודות הוריו של פיטר קוויל, הם נאלצים להילחם ולהגן על המשפחה החדשה שלהם. אויבים ותיקים הופכים לבני ברית ודמויות חדשות מהקומיקס יגיעו לעזרה",שומרי הגלקסיה חלק 2
"['15', '4']","מבוסס על סיפור אמיתי. כאשר סופה קשה מכה ב-1952 בחוף המזרחי בניו אינגלנד, היא פוגעת בשתי מכליות נפט כשהצוותים לכודים בתוכן. הקצין הבכיר על הסיפון מבין במהרה שעליו לקחת אחריות על הצוות המבוהל ולעודד אותם לעבוד יחד כדי לשמור על הספינה צפה זמן רב ככל האפשר.",שעה של גיבורים (תלת מימד
"['4', '3']","קונור בן ה- 13 מתעורר בבהלה מהסיוט הלילי הקבוע שלו ומגלה בחלונו מפלצת דמוית עץ. המפלצת מתעקשת כי קונור עצמו הוא זה שזימן אותה, ומציעה לו שלושה סיפורים משלה בתמורה לכך שיספר לה את הסיוט שלו. חילופי הסיפורים בין קונור למפלצת עוזרים לו להתמודד עם בדידותו החב ...  המשך ...",7 דקות אחרי חצות
['7'],"הקצינה סוזן טרנר, שהחליפה את ריצ'ר כראש יחידת החקירות במשטרה הצבאית של צבא ארה""ב, נעצרת באשמת בגידה כאשר היא וריצ'ר יודעים שהיא חפה מפשע. ריצ'ר לא יפסול אף אמצעי כדי להוכיח את חפותה וינסה לחשוף את האמת מאחורי קונספירציה ממשלתית גדולה בה מעורבים חיילים הרו ...  המשך ...",ג'ק ריצ'ר: אין דרך חזרה
"['9', '8', '13']","לואיז נאבקת לגדל את ילדיה בפרובאנס ולהציל את העסק שהוריש לה בעלה. כשהיא פוגעת עם מכוניתה בפייר, נדמה כי זהו הקש שישבור את גב הגמל. אך דווקא פייר, על-אף אישיותו המוזרה, עוזר ללואיז למצוא מחדש את הטעם לחייה",נפלאות החושים
"['4', '13']","סיפורו המופלא של שוקולד הליצן, איש הבמה השחור הראשון בצרפת. רפאל פדייה נולד בקובה ב-1860. תחת הכינוי ""שוקולד"" הוא היה האמן השחור הראשון שזכה להופיע בצרפת. שוקולד כיכב בסרטיהם של האחים לומייר והיה האיש השחור הראשון שכיכב בפרסומות בצרפת  הדואו חסר התקדים, ש ...  המשך ...",מסייה שוקולד
"['8', '4', '13']","רומן הוא בן 23. בלילות הוא עובד כפקיד קבלה במלון ומתכנן את היום בו יהפוך לסופר. בין לבין הוא מחפש אהבה. מדליין היא סבתו, שנותיה הטובות כבר מאחוריה, אבל היא עדיין מלאת חיים. לאחר מותו של בעלה שולחים הבנים את מדליין לבית אבות. היא לא מוצאת את מקומה ויום אחד ...  המשך ...",המזכרות
"['8', '9', '4']",למייב יש פנטזיית מין מסוכנת; איבי ודן מציתים מחדש את חיי המין שלהם תוך כדי משחקי תפקידים; רואווינה מגלה שהיא מתענגת כשהיא רואה את בעלה בוכה ומוצאת את עצמה חוטפת להם את הכלב; פיל מתאהב מחדש באשתו מורין כשהיא דוממת (ישנה או מעולפת) ומוניקה שעובדת בעזרה לחרש ...  המשך ...,חטאים קטנים
"['7', '4']","צ׳ארלס דנינג הוא הבעלים של אחת מחברות התרופות הגדולות בארה״ב. חברתו לחיים אמילי מגלה במחשב האישי שלו קבצים המעידים על זיוף ניסויים רפואיים ותשלומי שוחד בבקשות רישיון לתרופות. אמילי יוצרת קשר עם חברה לשעבר בן, עו״ד מצליח בתחילת דרכו, וחושפת את הסוד.  בן יח ...  המשך ...",ההונאה
"['7', '3']","סרט גיבורי על נוסף בעולם הקומיקס של מארוול.  סוכן הכוחות המיוחדים ווייד וילסון הפך לרוצח שכיר ואימץ את הדמות של דדפול, לאחר שעבר ניסוי שהעניק לו יכולות ריפוי מואצות. חמוש ביכולותיו החדשות ובחוש הומור שחור ומעוות, דדפול יוצא למצוא את האדם שכמעט והרס את חיי ...  המשך ...",דדפול (4DX)
"['7', '3']","סרט גיבורי על נוסף בעולם הקומיקס של מארוול.  סוכן הכוחות המיוחדים ווייד וילסון הפך לרוצח שכיר ואימץ את הדמות של דדפול, לאחר שעבר ניסוי שהעניק לו יכולות ריפוי מואצות. חמוש ביכולותיו החדשות ובחוש הומור שחור ומעוות, דדפול יוצא למצוא את האדם שכמעט והרס את חיי ...  המשך ...",דדפול (IMAX)
"['8', '2']","טום ברנד הוא מיליארדר נועז אשר הגיע הכי גבוה שניתן בתחומו. לכבוד יום ההולדת ה -11 של בתו רבקה היא מבקשת את המתנה שהיא מבקשת בכל שנה - חתול. טום שונא חתולים, אבל הוא נותר ללא מתנה ליום הולדתה של בתו ובצעד נואש הוא מגיע לחנות לחיות מחמד מיסטית המלאה בחתולים ...  המשך ...",מר תשע נשמות
['4'],"מבוסס על רב המכר מאת ג'וג'ו מויס. לואיזה גרה בעיירה קטנה באזור הכפרי של אנגליה. ללא כיוון ברור בחיים שלה, היא עוברת מעבודה אחת לאחרת כדי לעזור למשפחתה לגמור את החודש. האופטימיות שלה עומדת למבחן כשהיא עומדת בפני אתגר חדש בקריירה שלה: היא לוקחת עבודה חדשה ו ...  המשך ...",ללכת בדרכך
"['16', '2']","פרנקי הסנאי מגלה שבזמן שהותו בגן החיות, התבצע ביער שממנו הגיע איסוף מאסיבי של אגוזים על ידי התאגיד א.ג.ו.ז. פרנקי יודע שהוא היחיד שמסוגל להציל את היער, אך אם יעשה זאת הוא עלול לאבד את סנאית חלומותיו, לולה. לפרנקי והצוות יש רק 3 ימים לתכנן ולבצע את השוד הנ ...  המשך ...",תפוס ת'אגוז (מדובב)
['10'],"מור קפלנסקי יוצאת למסע בעקבות הסיפור שמאחורי ""קפה נגלר"" המפורסם - בית קפה שהוקם ונוהל על ידי משפחתה בראשית המאה העשרים בברלין. סבתה של הבמאית, דוקומנטריסטית לשעבר, היא נכדתם של בעלי בית הקפה ומלווה את צילומי הסרט מביתה בישראל. במהלך הצילומים קפלנסקי מגלה  ...  המשך ...",קפה נגלר
['7'],"הסרט החמישי בסדרת סרטי הריגול המצליחה. מהרגע שג'ייסון בורן מוצא את הדרך לנקום ב-CIA וללמוד על זהותו האמיתית הוא נעלם. אולם ברגע שתוכנת מחשב עוצמתית וזדונית של ארגון הביון מתחילה לפעול, הוא נאלץ לחזור בשביל להילחם שוב על חייו. בורן פוגש אויב מסוג חדש, שמסו ...  המשך ...",ג'ייסון בורן
"['4', '8']","דיוויס, בנקאי השקעות מצליח, מנסה להתמודד עם האובדן של אשתו בתאונת דרכים. למרות שחמו, פיל, לוחץ עליו להתעשת ולהמשיך בחייו דיוויס ממשיך לשקוע בתוך עצמו. סדרת מכתבי תלונה שכתב על מכונות למכירת מזון ומשקאות בבתי חולים בהן אושפזה אשתו מגיע לידיה של קרן, נציבת  ...  המשך ...",הרס
"['7', '4']","דאנה פקידת חשבונות זוטרה מגלה סתירה של מיליוני דולרים בספרי החשבונות בחברת הענק בה היא מועסקת. רואה החשבון כריסטיאן וולף, גאון מתמטי, נטול כישורים חברתיים, נקרא לדגל.  כשכריסטיאן מתחיל לחקור את סיבת סתירת המיליונים בספרי חברת הרובוטיקה הוא מגיע קרוב יותר  ...  המשך ...",רואה החשבון
"['1', '3']","עיבוד לסדרת הספרים של סטיבן קינג. האקדוחן רונלד יוצא למסע בחיפוש אחר המגדל האפל בתקווה שאם ימצא אותו, יצליח לשמר את עולמו הגווע.",המגדל האפל
"['16', '2']","מבוסס על סדרת משחקי המחשב. שועל ורובוט מגלים בטעות נשק שיכול להשמיד פלנטות שלמות, ומאחדים כוחות עם קבוצת גיבורים כדי להציל את כוכב סולאנה משלטונו של דרק המרושע.",ראצ'ט וקלאנק
['8'],"מייק ודייב  הם אחים חובבי מסיבות שמפרסמים מודעה באינטרנט כדי למצוא את הדייטים המושלמים בשביל החתונה של אחותם בהוואי. הבנים, שקיוו לבילוי פרוע בהוואי מוצאים את עצמם מובסים בידי הטירוף והבליינות של צמד הבנות הבלתי נשלט",מייק ודייב מחפשים דייט
['10'],"יעקב דמקני הוא בן למשפחה מסורתית קשת יום, המידרדר לפשע, מצטרף לכנופיית פורצי כספות ונאלץ לברוח לניו-יורק שם הוא ממשיך לשדוד רכבי ברינקס. כשהוא בן 21 חושפת אותו פגישה אקראית עם נוצרי אוונגליסטי לאמונה המשיחית ומשנה את חייו מן הקצה אל הקצה. יעקב עובר לחיות  ...  המשך ...",המבשר
"['8', '7']","נובי בורך ב 11 ילדים, אשה מדהימה, ורשת נוכלות המכניסה לו הכנסה קבועה וקלה. רק דבר אחד חסר לו בחיים: אחיו הקטן, סבסטיאן, אותו לא ראה 28 שנים. נובי מתכנן איחוד עם אחיו האבוד, בלי לדמיין בכלל שאחיו הקטן הוא סוכן קטלני בשרות המלכה, שבדיוק חשף תכנון של מתקפת ט ...  המשך ...",גרימסבי (4DX)
"['15', '7']",גנב פשוט מצטרף לאל מיתולוגי במסע ברחבי מצרים העתיקה,מלחמת האלים (תלת מימד
"['8', '13']","אנטואן דומה מאד לדמויות בסרטים שהוא מלחין, יש לו קסם והצלחה רבה. הוא נוסע להודו להלחין מוסיקה לגרסה  מיוחדת של רומיאו ויוליה. בהודו הוא פוגש את אנה, אישה השונה ממנו לגמרי שהיא גם אשתו של שגריר צרפת בהודו ובין השניים מתפתח סיפור אהבה מורכב.",הוא + היא
['8'],"שנות השמונים. ג'ייק, הוא תלמיד חדש בקולג' ושחקן בייסבול מצליח. כשהוא מתקבל לאחוות הקולג' ""אמיטיויל"", חווה ג'ייק את התחרותיות, המיניות המתפרצת ובעיות הזהות ששגורות בתקופת ההתבגרות. למרות כל הקשיים, שברון הלב וההרפתקאות ההזויות, גיי'ק יודע שאת החוויה הזאת ה ...  המשך ...",כולם רוצים את זה
"['15', '7']",סיפור תחיית המתים המקראי מנקודת מבטו של אדם לא מאמין.,Risen
"['7', '3']","סרט אקשן במבט ראשון, דרך עיניו של הנרי - גבר שאשתו הקימה אותו לתחייה מן המתים ללא זיכרון, מוכרח לגלות את זהותו ולהציל את אשתו מפניו של עסקן המנסה ליצור חיילים מהונדסים ביולוגית.",הארדקור הנרי
"['2', '8']",פליקס הוא ילד בן 11 שהצליח בטעות לכווץ את מנהלת בית הספר השנואה שלו לגובה של 15 סנטימטרים. כמעט אף אחד לא מאמין לו כי המקרה קשור לרוחו המסתורית של מייסד בית הספר והוא מבין שהוא נמצא בצרות. יחד עם חברתו הטובה אלה שנחלצת לעזרתו וכנגד אויבו מהשכבה מריו ואביו ...  המשך ...,הצילו! כיווצתי את המורה (מדובב)
['1'],"משפחה באנגליה של 1630 מוטרדת על ידי כוחות כישוף, קסמים אפלים ודיבוק.",המכשפה
"['4', '13']","גרמניה, 1957. התובע הכללי פריץ באואר מקבל לידיו עדויות חדשות על מקום הימצאו של אדולף אייכמן, שברח מגרמניה אחרי תום מלחמת העולם השנייה. באואר, יהודי שחזר לגרמניה מגלות בדנמרק בזמן המלחמה, מנסה מאז שובו להעמיד לדין את חברי הרייך השלישי, אך ללא הצלחה. הפעם ה ...  המשך ...",האמת של פריץ באואר
"['4', '14']","קוסמו הוא נער בתיכון בדבלין של שנות ה-80, והוא מרגיש שהוא חייב לברוח. הוא התלמיד החדש בבית הספר, ההורים שלו מתמודדים עם בעיות במערכת היחסים, המדינה כולה במיתון, ואחיו הגדול שעזב את הלימודים לא מוצא את עצמו. הדבר היחיד שנדמה שמלהיב אותו מתגלה בדמותה של נער ...  המשך ...",מועדון שנות ה-80
"['4', '13']","סרטו החדש של פדרו אלמודובר. בגיל 18 עוזבת אניטה את אמה חולייטה מבלי לתת הסבר, מבלי לומר לאן. במשך שנים מנסה חולייטה לאתר את בתה, אבל בהדרגה גם מצליחה לבנות לעצמה חיים חדשים.  בדיוק כשהיא ניצבת בפני ההזדמנות להתחיל מחדש, במקום אחר ועם אהבה חדשה, ומוכנה לוו ...  המשך ...",חולייטה
"['4', '9']","איימי היא דוקטורנטית צעירה באוניברסיטת אדינבורו, אשר מסכנת את חייה מידי יום בעבודתה כפעלולנית. היא מונעת על ידי רגשות אשם כתוצאה מטרגדיה שהתרחשה בעברה, הדוחפת אותה לקחת סיכונים בחיים. איימי מנהלת רומן סודי עם אד, פרופסור מבוגר לאסטרופיזיקה.  בעזרתו של אד, ...  המשך ...",התכתבות
['7'],"המשך לסרט ""המטרה: הבית הלבן"". מייק בנינג מגיע ללונדון להלוויתו של ראש הממשלה הבריטי ומגלה עלילה להתנקש בכל מנהיגי העולם הנוכחים בהלוויה",המטרה: לונדון (4DX)
['7'],"במהלך חופשה במרקש, זוג אנגלי נורמטיבי מתיידדים עם רוסי כריזמטי בשם דימה, אשר ללא ידיעתם מבצע הלבנות כספים למאפיה הרוסית. כאשר דימה מבקש מהם לעזור לו להעביר מידע חסוי לשירות החשאי הבריטי, הזוג מוצא את עצמו במרכזו של עולם הביון הבינלאומי המסוכן ופוליטיקות מ ...  המשך ...",בוגד משלנו
['7'],"המתנקש ג'ון וויק נאלץ לחזור, לאחר שפרש, בעקבות קולגה לשעבר הזומם להשתלט על גילדת 'מתנקשי צללים' בינלאומית. הוא נוסע לרומא, שם הוא מתייצב אל מול הרוצחים הקטלניים בעולם",ג'ון וויק 2
['4'],"זאב ומקס, שני קשישים יהודים, יוצאים למסע נקמה בקצין הנאצי ששלח את משפחותיהם למשרפות. למרות שזאב סובל משלבים ראשונים של אלצהיימר ומקס חולה מדי כדי לצאת ממתחם בית האבות, משימת הנקם יוצאת לפועל. כאשר זאב מוצא עצמו עומד פנים מול פנים עם הקצין נחשפת אמת חדשה ש ...  המשך ...",אני זוכר
